paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,direct_llm,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1993,,Randomized Complete Block Design (RCBD),22 April 1993,22 April 1993,30 July 1993,,,,,North America,Hordeum vulgare (Robust),Medicago lupulina (George),cereal,legume,0,1,Row,,,,,,67,,0,0,0,kg N ha-1,4,4,4,4,Fig. 1; Fig. 2; Fig. 3; Methods,,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,direct_llm,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1994,,Randomized Complete Block Design (RCBD),21 April 1994,21 April 1994,22 July 1994,,,,,North America,Hordeum vulgare (Robust),Medicago polymorpha (Santiago),cereal,legume,0,1,Row,,,,,,67,,0,0,0,kg N ha-1,4,4,4,4,Fig. 1; Fig. 2; Fig. 3; Methods,,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,direct_llm,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1994,,Randomized Complete Block Design (RCBD),21 April 1994,21 April 1994,22 July 1994,,,,,North America,Hordeum vulgare (Royal),Medicago lupulina (George),cereal,legume,0,1,Row,,,,,,67,,0,0,0,kg N ha-1,4,4,4,4,Fig. 1; Fig. 2; Fig. 3; Methods,,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,direct_llm,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1994,,Randomized Complete Block Design (RCBD),21 April 1994,21 April 1994,22 July 1994,,,,,North America,Hordeum vulgare (Royal),Medicago truncatula (Mogul),cereal,legume,0,1,Row,,,,,,67,,0,0,0,kg N ha-1,4,4,4,4,Fig. 1; Fig. 2; Fig. 3; Methods,,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,direct_llm,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1994,,Randomized Complete Block Design (RCBD),21 April 1994,21 April 1994,22 July 1994,,,,,North America,Hordeum vulgare (Royal),Medicago polymorpha (Santiago),cereal,legume,0,1,Row,,,,,,67,,0,0,0,kg N ha-1,4,4,4,4,Fig. 1; Fig. 2; Fig. 3; Methods,,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,direct_llm,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1994,,Randomized Complete Block Design (RCBD),9 May 1994,9 May 1994,15 August 1994,,,,,North America,Hordeum vulgare (Robust),Medicago lupulina (George),cereal,legume,0,1,Row,,,,,,67,,0,0,0,kg N ha-1,4,4,4,4,Fig. 1; Fig. 2; Fig. 3; Methods,,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,direct_llm,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1994,,Randomized Complete Block Design (RCBD),9 May 1994,9 May 1994,15 August 1994,,,,,North America,Hordeum vulgare (Robust),Medicago truncatula (Mogul),cereal,legume,0,1,Row,,,,,,67,,0,0,0,kg N ha-1,4,4,4,4,Fig. 1; Fig. 2; Fig. 3; Methods,,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,direct_llm,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1994,,Randomized Complete Block Design (RCBD),9 May 1994,9 May 1994,15 August 1994,,,,,North America,Hordeum vulgare (Robust),Medicago polymorpha (Santiago),cereal,legume,0,1,Row,,,,,,67,,0,0,0,kg N ha-1,4,4,4,4,Fig. 1; Fig. 2; Fig. 3; Methods,,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,direct_llm,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1994,,Randomized Complete Block Design (RCBD),9 May 1994,9 May 1994,15 August 1994,,,,,North America,Hordeum vulgare (Royal),Medicago lupulina (George),cereal,legume,0,1,Row,,,,,,67,,0,0,0,kg N ha-1,4,4,4,4,Fig. 1; Fig. 2; Fig. 3; Methods,,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,direct_llm,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1994,,Randomized Complete Block Design (RCBD),9 May 1994,9 May 1994,15 August 1994,,,,,North America,Hordeum vulgare (Royal),Medicago truncatula (Mogul),cereal,legume,0,1,Row,,,,,,67,,0,0,0,kg N ha-1,4,4,4,4,Fig. 1; Fig. 2; Fig. 3; Methods,,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,direct_llm,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1994,,Randomized Complete Block Design (RCBD),9 May 1994,9 May 1994,15 August 1994,,,,,North America,Hordeum vulgare (Royal),Medicago polymorpha (Santiago),cereal,legume,0,1,Row,,,,,,67,,0,0,0,kg N ha-1,4,4,4,4,Fig. 1; Fig. 2; Fig. 3; Methods,,,,,,,,
